State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Avg_Annual_Rainfall,MNREGA_JobCards_Issued,MNREGA_Active_Workers,Yield_Lag1,Production_Lag1,Yield_Pct_Change,Yield_Rolling_3Y,Yield_Shock
ANDHRA PRADESH,ANANTAPUR,2009,Whole Year ,Sugarcane,112.0,9968.0,89.0,572.7,323800.0,487015.0,93.93129770992368,12305.0,-0.052498984152783645,91.39696157685755,0
ANDHRA PRADESH,ANANTAPUR,2010,Whole Year ,Sugarcane,235.0,20981.0,89.28085106382979,572.7,323800.0,487015.0,89.0,9968.0,0.003155629930671644,90.7373829245845,0
ANDHRA PRADESH,ANANTAPUR,2011,Whole Year ,Sugarcane,410.0,39186.0,95.57560975609756,572.7,323800.0,487015.0,89.28085106382979,20981.0,0.07050513763323618,91.28548693997578,0
ANDHRA PRADESH,ANANTAPUR,1999,Kharif     ,Urad,4.0,2.0,0.5,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,2000,Kharif     ,Urad,135.0,8.0,0.0592592592592592,572.7,323800.0,487015.0,0.5,2.0,-0.8814814814814816,0.0,1
ANDHRA PRADESH,ANANTAPUR,2001,Kharif     ,Urad,487.0,176.0,0.3613963039014374,572.7,323800.0,487015.0,0.0592592592592592,8.0,5.098562628336762,0.30688518772023216,0
ANDHRA PRADESH,ANANTAPUR,2002,Kharif     ,Urad,32.0,2.0,0.0625,572.7,323800.0,487015.0,0.3613963039014374,176.0,-0.8270596590909092,0.16105185438689887,1
ANDHRA PRADESH,ANANTAPUR,2003,Kharif     ,Urad,82.0,51.0,0.6219512195121951,572.7,323800.0,487015.0,0.0625,2.0,8.951219512195122,0.3486158411378775,0
ANDHRA PRADESH,ANANTAPUR,2004,Kharif     ,Urad,76.0,37.0,0.4868421052631579,572.7,323800.0,487015.0,0.6219512195121951,51.0,-0.2172342621259029,0.390431108258451,1
ANDHRA PRADESH,ANANTAPUR,2005,Kharif     ,Urad,69.0,24.0,0.3478260869565217,572.7,323800.0,487015.0,0.4868421052631579,37.0,-0.2855464159811988,0.4855398039106249,1
ANDHRA PRADESH,ANANTAPUR,2006,Kharif     ,Urad,69.0,26.0,0.3768115942028985,572.7,323800.0,487015.0,0.3478260869565217,24.0,0.08333333333333348,0.4038265954741927,0
ANDHRA PRADESH,ANANTAPUR,2009,Kharif     ,Urad,30.0,9.0,0.3,572.7,323800.0,487015.0,0.3768115942028985,26.0,-0.2038461538461538,0.34154589371980676,1
ANDHRA PRADESH,ANANTAPUR,2010,Kharif     ,Urad,14.0,6.0,0.4285714285714285,572.7,323800.0,487015.0,0.3,9.0,0.4285714285714284,0.36846100759144235,0
ANDHRA PRADESH,ANANTAPUR,2011,Kharif     ,Urad,32.0,17.0,0.53125,572.7,323800.0,487015.0,0.4285714285714285,6.0,0.23958333333333348,0.4199404761904762,0
ANDHRA PRADESH,ANANTAPUR,2012,Kharif     ,Urad,31.0,29.0,0.935483870967742,572.7,323800.0,487015.0,0.53125,17.0,0.760910815939279,0.6317684331797234,0
